cust_ucv_id,last_trns_dt,b3_br_flag,b3_ea_flag,b3_od_flag,cashi_flag,sm_br_flag,sm_od_flag,w2_br_flag,w2_ea_flag,w2_od_flag,cust_clasif,vertical_depth,banner_depth,banner_path,SRC_BC_node1,TGT_BC_node1,SRC_BC_node1_dt,SRC_BC_node2,TGT_BC_node2,SRC_BC_node2_dt,SRC_BC_node3,TGT_BC_node3,SRC_BC_node3_dt,SRC_BC_node4,TGT_BC_node4,SRC_BC_node4_dt,SRC_BC_node5,TGT_BC_node5,SRC_BC_node5_dt,SRC_BC_node6,TGT_BC_node6,SRC_BC_node6_dt,SRC_BC_node7,TGT_BC_node7,SRC_BC_node7_dt,SRC_BC_node8,TGT_BC_node8,SRC_BC_node8_dt,SRC_BC_node9,TGT_BC_node9,SRC_BC_node9_dt,bc_combination
-1000013682888435322,2024-12-31,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000013740628145018,2025-08-06,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,B3 > W2,B3 BRICK,W2 BRICK,2024-06-10,W2 BRICK,STAYED,2024-09-11,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000013879549405370,2024-02-21,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2022-04-11,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000013910872817594,2024-11-10,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-11-10,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000013940310802938,2024-11-26,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-11-26,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-10000141961180026,2024-08-25,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-07-23,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000014770258145914,2025-08-11,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,B3 > W2,B3 BRICK,W2 BRICK,2024-08-23,W2 BRICK,STAYED,2024-10-14,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000014840139773242,2025-08-05,1,0,0,0,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,B3 > W2,B3 BRICK,W2 BRICK,2024-06-10,W2 BRICK,STAYED,2024-06-25,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, W2 BRICK"
-1000014878760397563,2024-04-16,1,0,0,1,0,0,0,0,0,MULTI BANNER/VERTICAL,2,2,B3 > CASHI,B3 BRICK,CASHI,2024-04-16,CASHI,STAYED,2024-04-16,,,,,,,,,,,,,,,,,,,,,,"B3 BRICK, CASHI"
-1000015010384445818,2025-08-02,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-11-10,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000015145388689530,2025-08-05,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-06-14,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000015170719548730,2024-10-05,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-10-05,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-100001565783016635,2024-03-11,0,0,0,1,0,0,1,0,0,MULTI BANNER/VERTICAL,2,2,W2 > CASHI,W2 BRICK,CASHI,2024-03-11,CASHI,STAYED,2024-03-11,,,,,,,,,,,,,,,,,,,,,,"CASHI, W2 BRICK"
-1000015869769774074,2025-07-21,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-08-23,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
